 ,Label,Area,Mean,Min,Max,X,Y,
1,,63.719,255,255,255,4.506,4.494,
2,,6.087E-5,255,255,255,4.191,0.002,
3,,2.029E-5,255,255,255,4.822,0.002,
4,,2.029E-5,255,255,255,4.128,0.007,
5,,8.116E-5,255,255,255,4.153,0.009,
6,,8.116E-5,255,255,255,4.176,0.009,
7,,2.029E-5,255,255,255,4.881,0.007,
8,,2.029E-5,255,255,255,4.079,0.011,
9,,2.029E-5,255,255,255,4.935,0.011,
10,,2.029E-5,255,255,255,4.034,0.016,
11,,2.029E-5,255,255,255,4.980,0.016,
12,,2.029E-5,255,255,255,3.993,0.020,
13,,2.029E-5,255,255,255,5.020,0.020,
14,,2.029E-5,255,255,255,3.957,0.025,
15,,4.058E-5,255,255,255,4.216,0.025,
16,,2.029E-5,255,255,255,5.056,0.025,
17,,2.029E-5,255,255,255,3.921,0.029,
18,,4.058E-5,255,255,255,4.446,0.029,
19,,2.029E-5,255,255,255,5.092,0.029,
20,,2.029E-5,255,255,255,3.885,0.034,
21,,4.058E-5,255,255,255,4.410,0.034,
22,,4.058E-5,255,255,255,4.541,0.034,
23,,4.058E-5,255,255,255,4.982,0.034,
24,,2.029E-5,255,255,255,5.124,0.034,
25,,2.029E-5,255,255,255,3.854,0.038,
26,,4.058E-5,255,255,255,4.324,0.038,
27,,4.058E-5,255,255,255,4.932,0.038,
28,,2.029E-5,255,255,255,5.155,0.038,
29,,2.029E-5,255,255,255,3.827,0.043,
30,,2.029E-5,255,255,255,5.187,0.043,
31,,2.029E-5,255,255,255,3.795,0.047,
32,,4.058E-5,255,255,255,4.568,0.047,
33,,2.029E-5,255,255,255,5.214,0.047,
34,,2.029E-5,255,255,255,3.768,0.052,
35,,4.058E-5,255,255,255,4.117,0.052,
36,,8.116E-5,255,255,255,4.495,0.054,
37,,2.029E-5,255,255,255,5.245,0.052,
38,,2.029E-5,255,255,255,3.741,0.056,
39,,4.058E-5,255,255,255,4.041,0.056,
40,,2.029E-5,255,255,255,5.273,0.056,
41,,2.029E-5,255,255,255,3.714,0.061,
42,,4.058E-5,255,255,255,3.847,0.061,
43,,4.058E-5,255,255,255,4.473,0.061,
44,,4.058E-5,255,255,255,5.063,0.061,
45,,4.058E-5,255,255,255,5.284,0.061,
46,,2.029E-5,255,255,255,5.295,0.061,
47,,2.029E-5,255,255,255,3.691,0.065,
48,,8.116E-5,255,255,255,4.766,0.068,
49,,2.029E-5,255,255,255,5.322,0.065,
50,,2.029E-5,255,255,255,3.664,0.070,
51,,4.058E-5,255,255,255,3.676,0.070,
52,,2.029E-5,255,255,255,5.345,0.070,
53,,2.029E-5,255,255,255,3.642,0.074,
54,,4.058E-5,255,255,255,3.725,0.074,
55,,2.029E-5,255,255,255,5.367,0.074,
56,,2.029E-5,255,255,255,3.619,0.079,
57,,4.058E-5,255,255,255,3.685,0.079,
58,,4.058E-5,255,255,255,3.779,0.079,
59,,4.058E-5,255,255,255,5.149,0.079,
60,,2.029E-5,255,255,255,5.390,0.079,
61,,2.029E-5,255,255,255,3.597,0.083,
62,,4.058E-5,255,255,255,4.464,0.083,
63,,4.058E-5,255,255,255,5.275,0.083,
64,,2.029E-5,255,255,255,5.412,0.083,
65,,2.029E-5,255,255,255,3.574,0.088,
66,,2.029E-5,255,255,255,5.435,0.088,
67,,2.029E-5,255,255,255,3.556,0.092,
68,,4.058E-5,255,255,255,5.351,0.092,
69,,2.029E-5,255,255,255,5.457,0.092,
70,,2.029E-5,255,255,255,3.534,0.097,
71,,4.058E-5,255,255,255,4.545,0.097,
72,,2.029E-5,255,255,255,5.475,0.097,
73,,1.420E-4,255,255,255,3.513,0.106,
74,,4.058E-5,255,255,255,5.392,0.101,
75,,2.029E-5,255,255,255,5.498,0.101,
76,,2.029E-5,255,255,255,3.493,0.106,
77,,4.058E-5,255,255,255,3.856,0.106,
78,,4.058E-5,255,255,255,4.149,0.106,
79,,4.058E-5,255,255,255,4.369,0.106,
80,,4.058E-5,255,255,255,5.243,0.106,
81,,4.058E-5,255,255,255,5.333,0.106,
82,,6.087E-5,255,255,255,5.372,0.106,
83,,2.029E-5,255,255,255,5.516,0.106,
84,,2.029E-5,255,255,255,3.475,0.110,
85,,2.029E-5,255,255,255,5.538,0.110,
86,,2.029E-5,255,255,255,3.457,0.115,
