,Area,Area,Area,Area,Area
,count,sum,mean,std,sem
0.0,30.0,0.00111599,3.719966666666667e-05,3.288439788141161e-05,6.0038421698747445e-06
1.0,35.0,0.0030841700000000002,8.811914285714286e-05,0.0001516026196105236,2.562551979836457e-05
2.0,35.0,0.00129858,3.710228571428571e-05,4.808942534399809e-05,8.128596487385868e-06
3.0,41.0,0.00223194,5.4437560975609756e-05,0.00011748549390840742,1.83481515510169e-05
4.0,48.0,0.00131885,2.7476041666666668e-05,1.5372602008406556e-05,2.2188439769246268e-06
5.0,71.0,0.0031102,4.38056338028169e-05,0.00011751493753965789,1.394645724358623e-05
6.0,57.0,0.00198848,3.488561403508772e-05,2.356303552006404e-05,3.121000297699777e-06
7.0,37.0,0.0014811,4.0029729729729726e-05,2.8881538940845792e-05,4.748095753695289e-06
8.0,42.0,0.0014203500000000001,3.3817857142857144e-05,1.8299386306611657e-05,2.8236566093606114e-06
9.0,55.0,0.0047797000000000004,8.690363636363638e-05,0.000268557013985124,3.621222037846191e-05
10.0,55.0,0.00192754,3.504618181818182e-05,2.745835853925055e-05,3.702484310125822e-06
11.0,70.0,0.00521163,7.445185714285715e-05,0.0003553157804034988,4.246835860862387e-05
12.0,56.0,0.03143481,0.0005613358928571429,0.0032241813633793657,0.00043084935766383146
13.0,81.0,0.00426099,5.2604814814814816e-05,4.4544914639920204e-05,4.949434959991134e-06
14.0,68.0,0.00326672,4.804e-05,2.375100532043524e-05,2.8802324603165154e-06
15.0,81.0,0.00426079,5.2602345679012354e-05,4.668451015250147e-05,5.187167794722385e-06
16.0,74.0,0.00497693,6.725581081081082e-05,0.00011788100511592951,1.3703388497474887e-05
17.0,77.0,0.00377402,4.9013246753246755e-05,5.341622206885624e-05,6.0873434592628914e-06
18.0,77.0,0.00308404,4.0052467532467536e-05,1.9739532746285948e-05,2.2495285308106467e-06
19.0,57.0,0.00231312,4.058105263157895e-05,2.363928303573544e-05,3.1310995278650367e-06
20.0,38.0,0.00172454,4.538263157894737e-05,3.349381287634677e-05,5.433413923888806e-06
21.0,36.0,0.00198847,5.523527777777778e-05,5.327022767985408e-05,8.87837127997568e-06
22.0,27.0,0.00142036,5.260592592592593e-05,9.588599794544719e-05,1.8453268908439947e-05
23.0,34.0,0.001542,4.535294117647059e-05,2.0626243584828467e-05,3.5373715916028314e-06
24.0,43.0,0.00213035,4.954302325581395e-05,2.5924517402394696e-05,3.953451840427921e-06
25.0,35.0,0.00237389,6.782542857142857e-05,6.065397365106317e-05,1.0252392779477475e-05
26.0,33.0,0.00150144,4.549818181818182e-05,2.5877023647261076e-05,4.504611619625371e-06
