,Area,Area,Area,Area,Area
,count,sum,mean,std,sem
0.0,281.0,0.01282935,4.5656049822064054e-05,9.490458950808179e-05,5.661533156818588e-06
1.0,324.0,0.01788413,5.5197932098765434e-05,0.00020150952932098691,1.119497385116594e-05
2.0,465.0,0.05244092,0.00011277617204301076,0.0011237446847279324,5.211241192120898e-05
3.0,255.0,0.01199127,4.7024588235294115e-05,4.312329160974283e-05,2.700485271756938e-06
4.0,360.0,0.03076259,8.545163888888889e-05,0.0005796869665986821,3.0552185739429765e-05
5.0,331.0,0.01882062,5.685987915407855e-05,0.00012867448883738036,7.07258954647687e-06
6.0,248.0,0.01457128,5.8755161290322585e-05,0.00025392195214384445,1.612406008520227e-05
7.0,242.0,0.03448115,0.00014248409090909092,0.0015455914270241873,9.935437990841779e-05
8.0,217.0,0.02450182,0.00011291161290322582,0.0009573507121356067,6.498920101809447e-05
9.0,184.0,0.01144642,6.22088043478261e-05,0.0002937241292961867,2.165363009666185e-05
10.0,348.0,0.02154241,6.190347701149426e-05,0.0003213645810152439,1.722694977796695e-05
11.0,324.0,0.015238080000000001,4.703111111111111e-05,2.879024586497907e-05,1.5994581036099483e-06
12.0,373.0,0.053736410000000005,0.00014406544235924935,0.001513678328870107,7.837529298432011e-05
13.0,364.0,0.03975411,0.00010921458791208792,0.0011002409523307973,5.766829535344289e-05
14.0,392.0,0.02436548,6.215683673469387e-05,0.00035575023471523195,1.7968100241131888e-05
15.0,352.0,0.01158583,3.2914289772727274e-05,2.8793842657636286e-05,1.5347169703096975e-06
Mean,316.25,0.024746991875,7.728822966212068e-05,0.0005356781222910392,3.0361766501625934e-05
Std,73.21611844396014,0.013916453498967436,3.565284861440065e-05,0.0005332303497939475,3.05843654847343e-05
SEM,18.304029610990035,0.003479113374741859,8.913212153600163e-06,0.00013330758744848687,7.646091371183575e-06
