 ,Area,Mean,Min,Max,X,Y
1,2.029E-5,255,255,255,4.151,0.011
2,2.029E-5,255,255,255,4.178,0.011
3,2.029E-5,255,255,255,4.218,0.025
4,4.058E-5,255,255,255,4.446,0.029
5,4.058E-5,255,255,255,4.410,0.034
6,4.058E-5,255,255,255,4.541,0.034
7,2.029E-5,255,255,255,4.980,0.034
8,2.029E-5,255,255,255,4.327,0.038
9,2.029E-5,255,255,255,4.930,0.038
10,4.058E-5,255,255,255,4.568,0.047
11,2.029E-5,255,255,255,4.119,0.052
12,8.116E-5,255,255,255,4.495,0.054
13,2.029E-5,255,255,255,4.043,0.056
14,2.029E-5,255,255,255,3.849,0.061
15,4.058E-5,255,255,255,4.473,0.061
16,2.029E-5,255,255,255,5.061,0.061
17,4.058E-5,255,255,255,4.764,0.068
18,2.029E-5,255,255,255,3.727,0.074
19,2.029E-5,255,255,255,3.687,0.079
20,2.029E-5,255,255,255,3.782,0.079
21,2.029E-5,255,255,255,5.146,0.079
22,4.058E-5,255,255,255,4.464,0.083
23,2.029E-5,255,255,255,5.273,0.083
24,2.029E-5,255,255,255,5.349,0.092
25,4.058E-5,255,255,255,4.545,0.097
26,2.029E-5,255,255,255,5.390,0.101
27,6.087E-5,255,255,255,3.513,0.107
28,2.029E-5,255,255,255,3.858,0.106
29,2.029E-5,255,255,255,4.151,0.106
30,2.029E-5,255,255,255,4.372,0.106
31,2.029E-5,255,255,255,5.241,0.106
32,2.029E-5,255,255,255,5.331,0.106
33,4.058E-5,255,255,255,5.369,0.106
34,4.058E-5,255,255,255,4.441,0.115
35,2.029E-5,255,255,255,5.489,0.115
36,2.029E-5,255,255,255,5.142,0.119
37,2.029E-5,255,255,255,5.277,0.119
38,2.029E-5,255,255,255,5.011,0.124
39,2.029E-5,255,255,255,5.484,0.124
40,4.058E-5,255,255,255,4.437,0.128
41,4.058E-5,255,255,255,4.405,0.137
42,1.217E-4,255,255,255,4.443,0.139
43,2.029E-5,255,255,255,4.606,0.146
44,2.029E-5,255,255,255,5.074,0.146
45,4.058E-5,255,255,255,5.293,0.149
46,2.029E-5,255,255,255,3.651,0.151
47,2.029E-5,255,255,255,4.151,0.151
48,2.029E-5,255,255,255,4.354,0.151
49,4.058E-5,255,255,255,4.550,0.151
50,2.029E-5,255,255,255,4.615,0.151
51,2.029E-5,255,255,255,3.453,0.155
52,2.029E-5,255,255,255,3.547,0.155
53,2.029E-5,255,255,255,4.255,0.155
54,4.058E-5,255,255,255,4.509,0.155
55,2.029E-5,255,255,255,5.403,0.155
56,4.058E-5,255,255,255,4.923,0.173
57,1.015E-4,255,255,255,4.364,0.187
58,2.029E-5,255,255,255,5.061,0.191
59,4.058E-5,255,255,255,5.124,0.194
60,2.029E-5,255,255,255,4.399,0.200
61,2.029E-5,255,255,255,5.124,0.205
62,2.029E-5,255,255,255,3.484,0.214
63,4.058E-5,255,255,255,4.464,0.218
64,4.058E-5,255,255,255,3.491,0.225
65,4.058E-5,255,255,255,4.905,0.227
66,2.029E-5,255,255,255,5.849,0.232
67,4.058E-5,255,255,255,3.477,0.236
68,2.029E-5,255,255,255,5.340,0.236
69,2.029E-5,255,255,255,3.070,0.241
70,2.029E-5,255,255,255,3.101,0.250
71,8.116E-5,255,255,255,3.414,0.264
72,2.029E-5,255,255,255,3.421,0.277
73,2.029E-5,255,255,255,5.345,0.291
74,2.029E-5,255,255,255,4.273,0.295
75,1.217E-4,255,255,255,3.547,0.311
76,1.015E-4,255,255,255,4.568,0.309
77,2.029E-5,255,255,255,4.651,0.313
78,2.029E-5,255,255,255,5.845,0.313
79,2.029E-5,255,255,255,4.750,0.327
80,4.058E-5,255,255,255,4.777,0.329
81,2.029E-5,255,255,255,3.056,0.340
82,4.058E-5,255,255,255,4.432,0.340
83,2.029E-5,255,255,255,5.349,0.349
84,2.029E-5,255,255,255,5.840,0.354
85,4.058E-5,255,255,255,4.536,0.358
86,4.058E-5,255,255,255,4.410,0.367
87,2.029E-5,255,255,255,3.777,0.372
88,2.029E-5,255,255,255,4.664,0.376
89,2.029E-5,255,255,255,4.764,0.376
90,6.087E-5,255,255,255,5.307,0.379
91,2.029E-5,255,255,255,5.349,0.376
92,4.058E-5,255,255,255,2.860,0.381
